soc2,count,mean,grupo
15,36,0.7445983585632598,Computação/Matemática
43,51,0.6078626117291216,Administrativo
13,48,0.5281979222277008,Negócios/Financeiro
17,56,0.49376520479974406,Arquitetura/Engenharia
23,7,0.4936195167722261,Jurídico
27,40,0.4697012797519823,Artes/Mídia
11,56,0.4643693529690471,Gestão
19,60,0.4640979053114503,Ciências
41,22,0.46008708247939506,Vendas
25,62,0.43456989046369915,Educação
29,89,0.3420806338139523,Saúde (técnicos)
21,14,0.31998497918743557,Serviço social
33,26,0.2868578371656175,Segurança
31,19,0.24057503007795744,Apoio à saúde
53,52,0.2162234899699851,Transporte
39,31,0.20410795604629353,Cuidados pessoais
35,16,0.1372334424513498,Alimentação
49,50,0.1351538138889763,Manutenção/Reparo
51,107,0.1301998078106522,Produção
45,12,0.13008387136319055,Agro
37,8,0.12634662327606574,Limpeza/Manut.
47,61,0.06944439303794392,Construção
